Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
year/2010,HBOP,SA,Current Account,Current balance,-49499,gbp-million,summary-of-balance-of-payments
year/2010,FNVQ,SA,Current Account,Capital balance,-909,gbp-million,summary-of-balance-of-payments
year/2011,BOKI,SA,Current Account,Trade in goods,-103000,gbp-million,summary-of-balance-of-payments
year/2011,IKBD,SA,Current Account,Trade in services,86232,gbp-million,summary-of-balance-of-payments
year/2011,IKBJ,SA,Current Account,Total trade,-16768,gbp-million,summary-of-balance-of-payments
year/2011,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-173,gbp-million,summary-of-balance-of-payments
year/2011,HBOM,SA,Current Account,"Primary income,Investment income",5735,gbp-million,summary-of-balance-of-payments
year/2011,MT5X,SA,Current Account,"Primary income,Other primary income",227,gbp-million,summary-of-balance-of-payments
year/2011,HBOJ,SA,Current Account,"Primary income,Total",5789,gbp-million,summary-of-balance-of-payments
year/2011,FNSV,SA,Current Account,"Secondary income,General government",-18149,gbp-million,summary-of-balance-of-payments
year/2011,FNTC,SA,Current Account,"Secondary income,Other sectors",-2673,gbp-million,summary-of-balance-of-payments
year/2011,IKBP,SA,Current Account,"Secondary income,Total",-20822,gbp-million,summary-of-balance-of-payments
year/2011,HBOP,SA,Current Account,Current balance,-31801,gbp-million,summary-of-balance-of-payments
year/2011,FNVQ,SA,Current Account,Capital balance,-991,gbp-million,summary-of-balance-of-payments
year/2012,BOKI,SA,Current Account,Trade in goods,-111022,gbp-million,summary-of-balance-of-payments
year/2012,IKBD,SA,Current Account,Trade in services,89818,gbp-million,summary-of-balance-of-payments
year/2012,IKBJ,SA,Current Account,Total trade,-21204,gbp-million,summary-of-balance-of-payments
year/2012,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-148,gbp-million,summary-of-balance-of-payments
year/2012,HBOM,SA,Current Account,"Primary income,Investment income",-17334,gbp-million,summary-of-balance-of-payments
year/2012,MT5X,SA,Current Account,"Primary income,Other primary income",-271,gbp-million,summary-of-balance-of-payments
year/2012,HBOJ,SA,Current Account,"Primary income,Total",-17753,gbp-million,summary-of-balance-of-payments
year/2012,FNSV,SA,Current Account,"Secondary income,General government",-18249,gbp-million,summary-of-balance-of-payments
year/2012,FNTC,SA,Current Account,"Secondary income,Other sectors",-2648,gbp-million,summary-of-balance-of-payments
year/2012,IKBP,SA,Current Account,"Secondary income,Total",-20897,gbp-million,summary-of-balance-of-payments
year/2012,HBOP,SA,Current Account,Current balance,-59854,gbp-million,summary-of-balance-of-payments
year/2012,FNVQ,SA,Current Account,Capital balance,-843,gbp-million,summary-of-balance-of-payments
year/2013,BOKI,SA,Current Account,Trade in goods,-123682,gbp-million,summary-of-balance-of-payments
year/2013,IKBD,SA,Current Account,Trade in services,100247,gbp-million,summary-of-balance-of-payments
year/2013,IKBJ,SA,Current Account,Total trade,-23435,gbp-million,summary-of-balance-of-payments
year/2013,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-326,gbp-million,summary-of-balance-of-payments
year/2013,HBOM,SA,Current Account,"Primary income,Investment income",-35554,gbp-million,summary-of-balance-of-payments
year/2013,MT5X,SA,Current Account,"Primary income,Other primary income",-474,gbp-million,summary-of-balance-of-payments
year/2013,HBOJ,SA,Current Account,"Primary income,Total",-36354,gbp-million,summary-of-balance-of-payments
year/2013,FNSV,SA,Current Account,"Secondary income,General government",-22677,gbp-million,summary-of-balance-of-payments
year/2013,FNTC,SA,Current Account,"Secondary income,Other sectors",-3063,gbp-million,summary-of-balance-of-payments
year/2013,IKBP,SA,Current Account,"Secondary income,Total",-25740,gbp-million,summary-of-balance-of-payments
year/2013,HBOP,SA,Current Account,Current balance,-85529,gbp-million,summary-of-balance-of-payments
year/2013,FNVQ,SA,Current Account,Capital balance,-1431,gbp-million,summary-of-balance-of-payments
year/2014,BOKI,SA,Current Account,Trade in goods,-130679,gbp-million,summary-of-balance-of-payments
year/2014,IKBD,SA,Current Account,Trade in services,97580,gbp-million,summary-of-balance-of-payments
year/2014,IKBJ,SA,Current Account,Total trade,-33099,gbp-million,summary-of-balance-of-payments
year/2014,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-469,gbp-million,summary-of-balance-of-payments
year/2014,HBOM,SA,Current Account,"Primary income,Investment income",-37729,gbp-million,summary-of-balance-of-payments
year/2014,MT5X,SA,Current Account,"Primary income,Other primary income",-654,gbp-million,summary-of-balance-of-payments
year/2014,HBOJ,SA,Current Account,"Primary income,Total",-38852,gbp-million,summary-of-balance-of-payments
year/2014,FNSV,SA,Current Account,"Secondary income,General government",-20818,gbp-million,summary-of-balance-of-payments
year/2014,FNTC,SA,Current Account,"Secondary income,Other sectors",-3126,gbp-million,summary-of-balance-of-payments
year/2014,IKBP,SA,Current Account,"Secondary income,Total",-23944,gbp-million,summary-of-balance-of-payments
year/2014,HBOP,SA,Current Account,Current balance,-95895,gbp-million,summary-of-balance-of-payments
year/2014,FNVQ,SA,Current Account,Capital balance,-2103,gbp-million,summary-of-balance-of-payments
year/2015,BOKI,SA,Current Account,Trade in goods,-125614,gbp-million,summary-of-balance-of-payments
year/2015,IKBD,SA,Current Account,Trade in services,95682,gbp-million,summary-of-balance-of-payments
year/2015,IKBJ,SA,Current Account,Total trade,-29932,gbp-million,summary-of-balance-of-payments
year/2015,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-89,gbp-million,summary-of-balance-of-payments
year/2015,HBOM,SA,Current Account,"Primary income,Investment income",-44928,gbp-million,summary-of-balance-of-payments
year/2015,MT5X,SA,Current Account,"Primary income,Other primary income",-1131,gbp-million,summary-of-balance-of-payments
year/2015,HBOJ,SA,Current Account,"Primary income,Total",-46148,gbp-million,summary-of-balance-of-payments
year/2015,FNSV,SA,Current Account,"Secondary income,General government",-20635,gbp-million,summary-of-balance-of-payments
year/2015,FNTC,SA,Current Account,"Secondary income,Other sectors",-3240,gbp-million,summary-of-balance-of-payments
year/2015,IKBP,SA,Current Account,"Secondary income,Total",-23875,gbp-million,summary-of-balance-of-payments
year/2015,HBOP,SA,Current Account,Current balance,-99955,gbp-million,summary-of-balance-of-payments
year/2015,FNVQ,SA,Current Account,Capital balance,-1854,gbp-million,summary-of-balance-of-payments
year/2016,BOKI,SA,Current Account,Trade in goods,-139198,gbp-million,summary-of-balance-of-payments
year/2016,IKBD,SA,Current Account,Trade in services,106171,gbp-million,summary-of-balance-of-payments
year/2016,IKBJ,SA,Current Account,Total trade,-33027,gbp-million,summary-of-balance-of-payments
year/2016,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-360,gbp-million,summary-of-balance-of-payments
year/2016,HBOM,SA,Current Account,"Primary income,Investment income",-49282,gbp-million,summary-of-balance-of-payments
year/2016,MT5X,SA,Current Account,"Primary income,Other primary income",-896,gbp-million,summary-of-balance-of-payments
year/2016,HBOJ,SA,Current Account,"Primary income,Total",-50538,gbp-million,summary-of-balance-of-payments
year/2016,FNSV,SA,Current Account,"Secondary income,General government",-20099,gbp-million,summary-of-balance-of-payments
year/2016,FNTC,SA,Current Account,"Secondary income,Other sectors",-3749,gbp-million,summary-of-balance-of-payments
year/2016,IKBP,SA,Current Account,"Secondary income,Total",-23848,gbp-million,summary-of-balance-of-payments
year/2016,HBOP,SA,Current Account,Current balance,-107413,gbp-million,summary-of-balance-of-payments
year/2016,FNVQ,SA,Current Account,Capital balance,-1599,gbp-million,summary-of-balance-of-payments
year/2017,BOKI,SA,Current Account,Trade in goods,-140478,gbp-million,summary-of-balance-of-payments
year/2017,IKBD,SA,Current Account,Trade in services,113983,gbp-million,summary-of-balance-of-payments
year/2017,IKBJ,SA,Current Account,Total trade,-26495,gbp-million,summary-of-balance-of-payments
year/2017,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-310,gbp-million,summary-of-balance-of-payments
year/2017,HBOM,SA,Current Account,"Primary income,Investment income",-25645,gbp-million,summary-of-balance-of-payments
year/2017,MT5X,SA,Current Account,"Primary income,Other primary income",-1242,gbp-million,summary-of-balance-of-payments
year/2017,HBOJ,SA,Current Account,"Primary income,Total",-27197,gbp-million,summary-of-balance-of-payments
year/2017,FNSV,SA,Current Account,"Secondary income,General government",-18611,gbp-million,summary-of-balance-of-payments
year/2017,FNTC,SA,Current Account,"Secondary income,Other sectors",-3851,gbp-million,summary-of-balance-of-payments
year/2017,IKBP,SA,Current Account,"Secondary income,Total",-22462,gbp-million,summary-of-balance-of-payments
year/2017,HBOP,SA,Current Account,Current balance,-76154,gbp-million,summary-of-balance-of-payments
year/2017,FNVQ,SA,Current Account,Capital balance,-1788,gbp-million,summary-of-balance-of-payments
year/2018,BOKI,SA,Current Account,Trade in goods,-142252,gbp-million,summary-of-balance-of-payments
year/2018,IKBD,SA,Current Account,Trade in services,113954,gbp-million,summary-of-balance-of-payments
year/2018,IKBJ,SA,Current Account,Total trade,-28298,gbp-million,summary-of-balance-of-payments
year/2018,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-386,gbp-million,summary-of-balance-of-payments
year/2018,HBOM,SA,Current Account,"Primary income,Investment income",-29012,gbp-million,summary-of-balance-of-payments
year/2018,MT5X,SA,Current Account,"Primary income,Other primary income",-1132,gbp-million,summary-of-balance-of-payments
year/2018,HBOJ,SA,Current Account,"Primary income,Total",-30530,gbp-million,summary-of-balance-of-payments
year/2018,FNSV,SA,Current Account,"Secondary income,General government",-21833,gbp-million,summary-of-balance-of-payments
year/2018,FNTC,SA,Current Account,"Secondary income,Other sectors",-3653,gbp-million,summary-of-balance-of-payments
year/2018,IKBP,SA,Current Account,"Secondary income,Total",-25486,gbp-million,summary-of-balance-of-payments
year/2018,HBOP,SA,Current Account,Current balance,-84314,gbp-million,summary-of-balance-of-payments
year/2018,FNVQ,SA,Current Account,Capital balance,-2716,gbp-million,summary-of-balance-of-payments
year/2019,BOKI,SA,Current Account,Trade in goods,-138214,gbp-million,summary-of-balance-of-payments
year/2019,IKBD,SA,Current Account,Trade in services,117526,gbp-million,summary-of-balance-of-payments
year/2019,IKBJ,SA,Current Account,Total trade,-20688,gbp-million,summary-of-balance-of-payments
year/2019,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-457,gbp-million,summary-of-balance-of-payments
