Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
quarter/2006-Q3,HBOK,SA,Credits,Primary income Investment income,63441,gbp-million,current-account
quarter/2006-Q3,MT5T,SA,Credits,Primary income Other primary income,793,gbp-million,current-account
quarter/2006-Q3,HBOH,SA,Credits,Primary income Total,64457,gbp-million,current-account
quarter/2006-Q3,FHDM,SA,Credits,Secondary income Central government,226,gbp-million,current-account
quarter/2006-Q3,FHIB,SA,Credits,Secondary income Other sectors,4303,gbp-million,current-account
quarter/2006-Q3,IKBN,SA,Credits,Secondary income Total,4529,gbp-million,current-account
quarter/2006-Q3,HBON,SA,Credits,Total credits,165733,gbp-million,current-account
quarter/2006-Q4,BOKG,SA,Credits,Exports of goods,54580,gbp-million,current-account
quarter/2006-Q4,IKBB,SA,Credits,Exports of services,40299,gbp-million,current-account
quarter/2006-Q4,IKBH,SA,Credits,Total exports,94879,gbp-million,current-account
quarter/2006-Q4,IJAH,SA,Credits,Primary income Compensation of employees,245,gbp-million,current-account
quarter/2006-Q4,HBOK,SA,Credits,Primary income Investment income,68034,gbp-million,current-account
quarter/2006-Q4,MT5T,SA,Credits,Primary income Other primary income,790,gbp-million,current-account
quarter/2006-Q4,HBOH,SA,Credits,Primary income Total,69069,gbp-million,current-account
quarter/2006-Q4,FHDM,SA,Credits,Secondary income Central government,266,gbp-million,current-account
quarter/2006-Q4,FHIB,SA,Credits,Secondary income Other sectors,3862,gbp-million,current-account
quarter/2006-Q4,IKBN,SA,Credits,Secondary income Total,4128,gbp-million,current-account
quarter/2006-Q4,HBON,SA,Credits,Total credits,168076,gbp-million,current-account
quarter/2007-Q1,BOKG,SA,Credits,Exports of goods,53447,gbp-million,current-account
quarter/2007-Q1,IKBB,SA,Credits,Exports of services,41541,gbp-million,current-account
quarter/2007-Q1,IKBH,SA,Credits,Total exports,94988,gbp-million,current-account
quarter/2007-Q1,IJAH,SA,Credits,Primary income Compensation of employees,248,gbp-million,current-account
quarter/2007-Q1,HBOK,SA,Credits,Primary income Investment income,69380,gbp-million,current-account
quarter/2007-Q1,MT5T,SA,Credits,Primary income Other primary income,790,gbp-million,current-account
quarter/2007-Q1,HBOH,SA,Credits,Primary income Total,70418,gbp-million,current-account
quarter/2007-Q1,FHDM,SA,Credits,Secondary income Central government,199,gbp-million,current-account
quarter/2007-Q1,FHIB,SA,Credits,Secondary income Other sectors,2024,gbp-million,current-account
quarter/2007-Q1,IKBN,SA,Credits,Secondary income Total,2223,gbp-million,current-account
quarter/2007-Q1,HBON,SA,Credits,Total credits,167629,gbp-million,current-account
quarter/2007-Q2,BOKG,SA,Credits,Exports of goods,55896,gbp-million,current-account
quarter/2007-Q2,IKBB,SA,Credits,Exports of services,41792,gbp-million,current-account
quarter/2007-Q2,IKBH,SA,Credits,Total exports,97688,gbp-million,current-account
quarter/2007-Q2,IJAH,SA,Credits,Primary income Compensation of employees,238,gbp-million,current-account
quarter/2007-Q2,HBOK,SA,Credits,Primary income Investment income,76071,gbp-million,current-account
quarter/2007-Q2,MT5T,SA,Credits,Primary income Other primary income,720,gbp-million,current-account
quarter/2007-Q2,HBOH,SA,Credits,Primary income Total,77029,gbp-million,current-account
quarter/2007-Q2,FHDM,SA,Credits,Secondary income Central government,167,gbp-million,current-account
quarter/2007-Q2,FHIB,SA,Credits,Secondary income Other sectors,2471,gbp-million,current-account
quarter/2007-Q2,IKBN,SA,Credits,Secondary income Total,2638,gbp-million,current-account
quarter/2007-Q2,HBON,SA,Credits,Total credits,177355,gbp-million,current-account
quarter/2007-Q3,BOKG,SA,Credits,Exports of goods,56004,gbp-million,current-account
quarter/2007-Q3,IKBB,SA,Credits,Exports of services,43030,gbp-million,current-account
quarter/2007-Q3,IKBH,SA,Credits,Total exports,99034,gbp-million,current-account
quarter/2007-Q3,IJAH,SA,Credits,Primary income Compensation of employees,239,gbp-million,current-account
quarter/2007-Q3,HBOK,SA,Credits,Primary income Investment income,78219,gbp-million,current-account
quarter/2007-Q3,MT5T,SA,Credits,Primary income Other primary income,720,gbp-million,current-account
quarter/2007-Q3,HBOH,SA,Credits,Primary income Total,79178,gbp-million,current-account
quarter/2007-Q3,FHDM,SA,Credits,Secondary income Central government,307,gbp-million,current-account
quarter/2007-Q3,FHIB,SA,Credits,Secondary income Other sectors,2359,gbp-million,current-account
quarter/2007-Q3,IKBN,SA,Credits,Secondary income Total,2666,gbp-million,current-account
quarter/2007-Q3,HBON,SA,Credits,Total credits,180878,gbp-million,current-account
quarter/2007-Q4,BOKG,SA,Credits,Exports of goods,58463,gbp-million,current-account
quarter/2007-Q4,IKBB,SA,Credits,Exports of services,43237,gbp-million,current-account
quarter/2007-Q4,IKBH,SA,Credits,Total exports,101700,gbp-million,current-account
quarter/2007-Q4,IJAH,SA,Credits,Primary income Compensation of employees,259,gbp-million,current-account
quarter/2007-Q4,HBOK,SA,Credits,Primary income Investment income,82123,gbp-million,current-account
quarter/2007-Q4,MT5T,SA,Credits,Primary income Other primary income,719,gbp-million,current-account
quarter/2007-Q4,HBOH,SA,Credits,Primary income Total,83101,gbp-million,current-account
quarter/2007-Q4,FHDM,SA,Credits,Secondary income Central government,212,gbp-million,current-account
quarter/2007-Q4,FHIB,SA,Credits,Secondary income Other sectors,3080,gbp-million,current-account
quarter/2007-Q4,IKBN,SA,Credits,Secondary income Total,3292,gbp-million,current-account
quarter/2007-Q4,HBON,SA,Credits,Total credits,188093,gbp-million,current-account
quarter/2008-Q1,BOKG,SA,Credits,Exports of goods,60575,gbp-million,current-account
quarter/2008-Q1,IKBB,SA,Credits,Exports of services,42778,gbp-million,current-account
quarter/2008-Q1,IKBH,SA,Credits,Total exports,103353,gbp-million,current-account
quarter/2008-Q1,IJAH,SA,Credits,Primary income Compensation of employees,266,gbp-million,current-account
quarter/2008-Q1,HBOK,SA,Credits,Primary income Investment income,79669,gbp-million,current-account
quarter/2008-Q1,MT5T,SA,Credits,Primary income Other primary income,720,gbp-million,current-account
quarter/2008-Q1,HBOH,SA,Credits,Primary income Total,80655,gbp-million,current-account
quarter/2008-Q1,FHDM,SA,Credits,Secondary income Central government,192,gbp-million,current-account
quarter/2008-Q1,FHIB,SA,Credits,Secondary income Other sectors,4249,gbp-million,current-account
quarter/2008-Q1,IKBN,SA,Credits,Secondary income Total,4441,gbp-million,current-account
quarter/2008-Q1,HBON,SA,Credits,Total credits,188449,gbp-million,current-account
quarter/2008-Q2,BOKG,SA,Credits,Exports of goods,65513,gbp-million,current-account
quarter/2008-Q2,IKBB,SA,Credits,Exports of services,43916,gbp-million,current-account
quarter/2008-Q2,IKBH,SA,Credits,Total exports,109429,gbp-million,current-account
quarter/2008-Q2,IJAH,SA,Credits,Primary income Compensation of employees,267,gbp-million,current-account
quarter/2008-Q2,HBOK,SA,Credits,Primary income Investment income,74661,gbp-million,current-account
quarter/2008-Q2,MT5T,SA,Credits,Primary income Other primary income,778,gbp-million,current-account
quarter/2008-Q2,HBOH,SA,Credits,Primary income Total,75706,gbp-million,current-account
quarter/2008-Q2,FHDM,SA,Credits,Secondary income Central government,231,gbp-million,current-account
quarter/2008-Q2,FHIB,SA,Credits,Secondary income Other sectors,3645,gbp-million,current-account
quarter/2008-Q2,IKBN,SA,Credits,Secondary income Total,3876,gbp-million,current-account
quarter/2008-Q2,HBON,SA,Credits,Total credits,189011,gbp-million,current-account
quarter/2008-Q3,BOKG,SA,Credits,Exports of goods,66657,gbp-million,current-account
quarter/2008-Q3,IKBB,SA,Credits,Exports of services,45453,gbp-million,current-account
quarter/2008-Q3,IKBH,SA,Credits,Total exports,112110,gbp-million,current-account
quarter/2008-Q3,IJAH,SA,Credits,Primary income Compensation of employees,255,gbp-million,current-account
quarter/2008-Q3,HBOK,SA,Credits,Primary income Investment income,71296,gbp-million,current-account
quarter/2008-Q3,MT5T,SA,Credits,Primary income Other primary income,778,gbp-million,current-account
quarter/2008-Q3,HBOH,SA,Credits,Primary income Total,72329,gbp-million,current-account
quarter/2008-Q3,FHDM,SA,Credits,Secondary income Central government,207,gbp-million,current-account
quarter/2008-Q3,FHIB,SA,Credits,Secondary income Other sectors,3418,gbp-million,current-account
quarter/2008-Q3,IKBN,SA,Credits,Secondary income Total,3625,gbp-million,current-account
quarter/2008-Q3,HBON,SA,Credits,Total credits,188064,gbp-million,current-account
quarter/2008-Q4,BOKG,SA,Credits,Exports of goods,60297,gbp-million,current-account
quarter/2008-Q4,IKBB,SA,Credits,Exports of services,47747,gbp-million,current-account
quarter/2008-Q4,IKBH,SA,Credits,Total exports,108044,gbp-million,current-account
quarter/2008-Q4,IJAH,SA,Credits,Primary income Compensation of employees,258,gbp-million,current-account
quarter/2008-Q4,HBOK,SA,Credits,Primary income Investment income,62455,gbp-million,current-account
quarter/2008-Q4,MT5T,SA,Credits,Primary income Other primary income,776,gbp-million,current-account
quarter/2008-Q4,HBOH,SA,Credits,Primary income Total,63489,gbp-million,current-account
quarter/2008-Q4,FHDM,SA,Credits,Secondary income Central government,237,gbp-million,current-account
quarter/2008-Q4,FHIB,SA,Credits,Secondary income Other sectors,3768,gbp-million,current-account
quarter/2008-Q4,IKBN,SA,Credits,Secondary income Total,4005,gbp-million,current-account
quarter/2008-Q4,HBON,SA,Credits,Total credits,175538,gbp-million,current-account
quarter/2009-Q1,BOKG,SA,Credits,Exports of goods,55361,gbp-million,current-account
quarter/2009-Q1,IKBB,SA,Credits,Exports of services,47458,gbp-million,current-account
quarter/2009-Q1,IKBH,SA,Credits,Total exports,102819,gbp-million,current-account
quarter/2009-Q1,IJAH,SA,Credits,Primary income Compensation of employees,325,gbp-million,current-account
quarter/2009-Q1,HBOK,SA,Credits,Primary income Investment income,49320,gbp-million,current-account
quarter/2009-Q1,MT5T,SA,Credits,Primary income Other primary income,776,gbp-million,current-account
quarter/2009-Q1,HBOH,SA,Credits,Primary income Total,50421,gbp-million,current-account
quarter/2009-Q1,FHDM,SA,Credits,Secondary income Central government,146,gbp-million,current-account
quarter/2009-Q1,FHIB,SA,Credits,Secondary income Other sectors,2771,gbp-million,current-account
quarter/2009-Q1,IKBN,SA,Credits,Secondary income Total,2917,gbp-million,current-account
quarter/2009-Q1,HBON,SA,Credits,Total credits,156157,gbp-million,current-account
quarter/2009-Q2,BOKG,SA,Credits,Exports of goods,54712,gbp-million,current-account
quarter/2009-Q2,IKBB,SA,Credits,Exports of services,45874,gbp-million,current-account
quarter/2009-Q2,IKBH,SA,Credits,Total exports,100586,gbp-million,current-account
quarter/2009-Q2,IJAH,SA,Credits,Primary income Compensation of employees,308,gbp-million,current-account
quarter/2009-Q2,HBOK,SA,Credits,Primary income Investment income,41720,gbp-million,current-account
quarter/2009-Q2,MT5T,SA,Credits,Primary income Other primary income,878,gbp-million,current-account
quarter/2009-Q2,HBOH,SA,Credits,Primary income Total,42906,gbp-million,current-account
quarter/2009-Q2,FHDM,SA,Credits,Secondary income Central government,247,gbp-million,current-account
quarter/2009-Q2,FHIB,SA,Credits,Secondary income Other sectors,2696,gbp-million,current-account
quarter/2009-Q2,IKBN,SA,Credits,Secondary income Total,2943,gbp-million,current-account
quarter/2009-Q2,HBON,SA,Credits,Total credits,146435,gbp-million,current-account
quarter/2009-Q3,BOKG,SA,Credits,Exports of goods,56814,gbp-million,current-account
quarter/2009-Q3,IKBB,SA,Credits,Exports of services,45276,gbp-million,current-account
quarter/2009-Q3,IKBH,SA,Credits,Total exports,102090,gbp-million,current-account
quarter/2009-Q3,IJAH,SA,Credits,Primary income Compensation of employees,261,gbp-million,current-account
quarter/2009-Q3,HBOK,SA,Credits,Primary income Investment income,42811,gbp-million,current-account
quarter/2009-Q3,MT5T,SA,Credits,Primary income Other primary income,878,gbp-million,current-account
quarter/2009-Q3,HBOH,SA,Credits,Primary income Total,43950,gbp-million,current-account
quarter/2009-Q3,FHDM,SA,Credits,Secondary income Central government,195,gbp-million,current-account
quarter/2009-Q3,FHIB,SA,Credits,Secondary income Other sectors,2732,gbp-million,current-account
quarter/2009-Q3,IKBN,SA,Credits,Secondary income Total,2927,gbp-million,current-account
quarter/2009-Q3,HBON,SA,Credits,Total credits,148967,gbp-million,current-account
quarter/2009-Q4,BOKG,SA,Credits,Exports of goods,60854,gbp-million,current-account
quarter/2009-Q4,IKBB,SA,Credits,Exports of services,43956,gbp-million,current-account
quarter/2009-Q4,IKBH,SA,Credits,Total exports,104810,gbp-million,current-account
quarter/2009-Q4,IJAH,SA,Credits,Primary income Compensation of employees,282,gbp-million,current-account
quarter/2009-Q4,HBOK,SA,Credits,Primary income Investment income,42177,gbp-million,current-account
quarter/2009-Q4,MT5T,SA,Credits,Primary income Other primary income,877,gbp-million,current-account
quarter/2009-Q4,HBOH,SA,Credits,Primary income Total,43336,gbp-million,current-account
quarter/2009-Q4,FHDM,SA,Credits,Secondary income Central government,303,gbp-million,current-account
quarter/2009-Q4,FHIB,SA,Credits,Secondary income Other sectors,3024,gbp-million,current-account
quarter/2009-Q4,IKBN,SA,Credits,Secondary income Total,3327,gbp-million,current-account
quarter/2009-Q4,HBON,SA,Credits,Total credits,151473,gbp-million,current-account
quarter/2010-Q1,BOKG,SA,Credits,Exports of goods,62615,gbp-million,current-account
quarter/2010-Q1,IKBB,SA,Credits,Exports of services,45213,gbp-million,current-account
quarter/2010-Q1,IKBH,SA,Credits,Total exports,107828,gbp-million,current-account
quarter/2010-Q1,IJAH,SA,Credits,Primary income Compensation of employees,288,gbp-million,current-account
quarter/2010-Q1,HBOK,SA,Credits,Primary income Investment income,42333,gbp-million,current-account
quarter/2010-Q1,MT5T,SA,Credits,Primary income Other primary income,877,gbp-million,current-account
quarter/2010-Q1,HBOH,SA,Credits,Primary income Total,43498,gbp-million,current-account
quarter/2010-Q1,FHDM,SA,Credits,Secondary income Central government,33,gbp-million,current-account
quarter/2010-Q1,FHIB,SA,Credits,Secondary income Other sectors,2752,gbp-million,current-account
quarter/2010-Q1,IKBN,SA,Credits,Secondary income Total,2785,gbp-million,current-account
quarter/2010-Q1,HBON,SA,Credits,Total credits,154111,gbp-million,current-account
quarter/2010-Q2,BOKG,SA,Credits,Exports of goods,66720,gbp-million,current-account
quarter/2010-Q2,IKBB,SA,Credits,Exports of services,47283,gbp-million,current-account
quarter/2010-Q2,IKBH,SA,Credits,Total exports,114003,gbp-million,current-account
quarter/2010-Q2,IJAH,SA,Credits,Primary income Compensation of employees,263,gbp-million,current-account
quarter/2010-Q2,HBOK,SA,Credits,Primary income Investment income,42946,gbp-million,current-account
quarter/2010-Q2,MT5T,SA,Credits,Primary income Other primary income,728,gbp-million,current-account
quarter/2010-Q2,HBOH,SA,Credits,Primary income Total,43937,gbp-million,current-account
quarter/2010-Q2,FHDM,SA,Credits,Secondary income Central government,173,gbp-million,current-account
quarter/2010-Q2,FHIB,SA,Credits,Secondary income Other sectors,3045,gbp-million,current-account
quarter/2010-Q2,IKBN,SA,Credits,Secondary income Total,3218,gbp-million,current-account
quarter/2010-Q2,HBON,SA,Credits,Total credits,161158,gbp-million,current-account
quarter/2010-Q3,BOKG,SA,Credits,Exports of goods,66565,gbp-million,current-account
quarter/2010-Q3,IKBB,SA,Credits,Exports of services,47224,gbp-million,current-account
quarter/2010-Q3,IKBH,SA,Credits,Total exports,113789,gbp-million,current-account
quarter/2010-Q3,IJAH,SA,Credits,Primary income Compensation of employees,289,gbp-million,current-account
quarter/2010-Q3,HBOK,SA,Credits,Primary income Investment income,43406,gbp-million,current-account
quarter/2010-Q3,MT5T,SA,Credits,Primary income Other primary income,728,gbp-million,current-account
quarter/2010-Q3,HBOH,SA,Credits,Primary income Total,44423,gbp-million,current-account
quarter/2010-Q3,FHDM,SA,Credits,Secondary income Central government,332,gbp-million,current-account
quarter/2010-Q3,FHIB,SA,Credits,Secondary income Other sectors,3191,gbp-million,current-account
quarter/2010-Q3,IKBN,SA,Credits,Secondary income Total,3523,gbp-million,current-account
quarter/2010-Q3,HBON,SA,Credits,Total credits,161735,gbp-million,current-account
quarter/2010-Q4,BOKG,SA,Credits,Exports of goods,69773,gbp-million,current-account
quarter/2010-Q4,IKBB,SA,Credits,Exports of services,49084,gbp-million,current-account
quarter/2010-Q4,IKBH,SA,Credits,Total exports,118857,gbp-million,current-account
quarter/2010-Q4,IJAH,SA,Credits,Primary income Compensation of employees,257,gbp-million,current-account
quarter/2010-Q4,HBOK,SA,Credits,Primary income Investment income,45865,gbp-million,current-account
quarter/2010-Q4,MT5T,SA,Credits,Primary income Other primary income,727,gbp-million,current-account
quarter/2010-Q4,HBOH,SA,Credits,Primary income Total,46849,gbp-million,current-account
quarter/2010-Q4,FHDM,SA,Credits,Secondary income Central government,271,gbp-million,current-account
quarter/2010-Q4,FHIB,SA,Credits,Secondary income Other sectors,3414,gbp-million,current-account
quarter/2010-Q4,IKBN,SA,Credits,Secondary income Total,3685,gbp-million,current-account
quarter/2010-Q4,HBON,SA,Credits,Total credits,169391,gbp-million,current-account
quarter/2011-Q1,BOKG,SA,Credits,Exports of goods,75951,gbp-million,current-account
quarter/2011-Q1,IKBB,SA,Credits,Exports of services,49221,gbp-million,current-account
quarter/2011-Q1,IKBH,SA,Credits,Total exports,125172,gbp-million,current-account
quarter/2011-Q1,IJAH,SA,Credits,Primary income Compensation of employees,265,gbp-million,current-account
quarter/2011-Q1,HBOK,SA,Credits,Primary income Investment income,48680,gbp-million,current-account
quarter/2011-Q1,MT5T,SA,Credits,Primary income Other primary income,726,gbp-million,current-account
quarter/2011-Q1,HBOH,SA,Credits,Primary income Total,49671,gbp-million,current-account
quarter/2011-Q1,FHDM,SA,Credits,Secondary income Central government,-78,gbp-million,current-account
quarter/2011-Q1,FHIB,SA,Credits,Secondary income Other sectors,3259,gbp-million,current-account
quarter/2011-Q1,IKBN,SA,Credits,Secondary income Total,3181,gbp-million,current-account
quarter/2011-Q1,HBON,SA,Credits,Total credits,178024,gbp-million,current-account
quarter/2011-Q2,BOKG,SA,Credits,Exports of goods,74767,gbp-million,current-account
quarter/2011-Q2,IKBB,SA,Credits,Exports of services,52996,gbp-million,current-account
quarter/2011-Q2,IKBH,SA,Credits,Total exports,127763,gbp-million,current-account
quarter/2011-Q2,IJAH,SA,Credits,Primary income Compensation of employees,255,gbp-million,current-account
quarter/2011-Q2,HBOK,SA,Credits,Primary income Investment income,53435,gbp-million,current-account
quarter/2011-Q2,MT5T,SA,Credits,Primary income Other primary income,813,gbp-million,current-account
quarter/2011-Q2,HBOH,SA,Credits,Primary income Total,54503,gbp-million,current-account
quarter/2011-Q2,FHDM,SA,Credits,Secondary income Central government,167,gbp-million,current-account
quarter/2011-Q2,FHIB,SA,Credits,Secondary income Other sectors,2684,gbp-million,current-account
quarter/2011-Q2,IKBN,SA,Credits,Secondary income Total,2851,gbp-million,current-account
quarter/2011-Q2,HBON,SA,Credits,Total credits,185117,gbp-million,current-account
quarter/2011-Q3,BOKG,SA,Credits,Exports of goods,74084,gbp-million,current-account
quarter/2011-Q3,IKBB,SA,Credits,Exports of services,55128,gbp-million,current-account
quarter/2011-Q3,IKBH,SA,Credits,Total exports,129212,gbp-million,current-account
quarter/2011-Q3,IJAH,SA,Credits,Primary income Compensation of employees,310,gbp-million,current-account
quarter/2011-Q3,HBOK,SA,Credits,Primary income Investment income,49983,gbp-million,current-account
quarter/2011-Q3,MT5T,SA,Credits,Primary income Other primary income,813,gbp-million,current-account
quarter/2011-Q3,HBOH,SA,Credits,Primary income Total,51106,gbp-million,current-account
quarter/2011-Q3,FHDM,SA,Credits,Secondary income Central government,157,gbp-million,current-account
quarter/2011-Q3,FHIB,SA,Credits,Secondary income Other sectors,2970,gbp-million,current-account
quarter/2011-Q3,IKBN,SA,Credits,Secondary income Total,3127,gbp-million,current-account
quarter/2011-Q3,HBON,SA,Credits,Total credits,183445,gbp-million,current-account
quarter/2011-Q4,BOKG,SA,Credits,Exports of goods,77486,gbp-million,current-account
quarter/2011-Q4,IKBB,SA,Credits,Exports of services,53137,gbp-million,current-account
quarter/2011-Q4,IKBH,SA,Credits,Total exports,130623,gbp-million,current-account
quarter/2011-Q4,IJAH,SA,Credits,Primary income Compensation of employees,291,gbp-million,current-account
quarter/2011-Q4,HBOK,SA,Credits,Primary income Investment income,48509,gbp-million,current-account
quarter/2011-Q4,MT5T,SA,Credits,Primary income Other primary income,812,gbp-million,current-account
quarter/2011-Q4,HBOH,SA,Credits,Primary income Total,49612,gbp-million,current-account
quarter/2011-Q4,FHDM,SA,Credits,Secondary income Central government,158,gbp-million,current-account
quarter/2011-Q4,FHIB,SA,Credits,Secondary income Other sectors,2606,gbp-million,current-account
quarter/2011-Q4,IKBN,SA,Credits,Secondary income Total,2764,gbp-million,current-account
quarter/2011-Q4,HBON,SA,Credits,Total credits,182999,gbp-million,current-account
quarter/2012-Q1,BOKG,SA,Credits,Exports of goods,77722,gbp-million,current-account
quarter/2012-Q1,IKBB,SA,Credits,Exports of services,54426,gbp-million,current-account
quarter/2012-Q1,IKBH,SA,Credits,Total exports,132148,gbp-million,current-account
quarter/2012-Q1,IJAH,SA,Credits,Primary income Compensation of employees,273,gbp-million,current-account
quarter/2012-Q1,HBOK,SA,Credits,Primary income Investment income,46117,gbp-million,current-account
quarter/2012-Q1,MT5T,SA,Credits,Primary income Other primary income,813,gbp-million,current-account
quarter/2012-Q1,HBOH,SA,Credits,Primary income Total,47203,gbp-million,current-account
quarter/2012-Q1,FHDM,SA,Credits,Secondary income Central government,193,gbp-million,current-account
quarter/2012-Q1,FHIB,SA,Credits,Secondary income Other sectors,3523,gbp-million,current-account
quarter/2012-Q1,IKBN,SA,Credits,Secondary income Total,3716,gbp-million,current-account
quarter/2012-Q1,HBON,SA,Credits,Total credits,183067,gbp-million,current-account
quarter/2012-Q2,BOKG,SA,Credits,Exports of goods,73123,gbp-million,current-account
quarter/2012-Q2,IKBB,SA,Credits,Exports of services,53527,gbp-million,current-account
quarter/2012-Q2,IKBH,SA,Credits,Total exports,126650,gbp-million,current-account
quarter/2012-Q2,IJAH,SA,Credits,Primary income Compensation of employees,304,gbp-million,current-account
quarter/2012-Q2,HBOK,SA,Credits,Primary income Investment income,45008,gbp-million,current-account
quarter/2012-Q2,MT5T,SA,Credits,Primary income Other primary income,605,gbp-million,current-account
quarter/2012-Q2,HBOH,SA,Credits,Primary income Total,45917,gbp-million,current-account
quarter/2012-Q2,FHDM,SA,Credits,Secondary income Central government,131,gbp-million,current-account
quarter/2012-Q2,FHIB,SA,Credits,Secondary income Other sectors,3441,gbp-million,current-account
quarter/2012-Q2,IKBN,SA,Credits,Secondary income Total,3572,gbp-million,current-account
quarter/2012-Q2,HBON,SA,Credits,Total credits,176139,gbp-million,current-account
quarter/2012-Q3,BOKG,SA,Credits,Exports of goods,74470,gbp-million,current-account
quarter/2012-Q3,IKBB,SA,Credits,Exports of services,54655,gbp-million,current-account
quarter/2012-Q3,IKBH,SA,Credits,Total exports,129125,gbp-million,current-account
quarter/2012-Q3,IJAH,SA,Credits,Primary income Compensation of employees,274,gbp-million,current-account
quarter/2012-Q3,HBOK,SA,Credits,Primary income Investment income,43076,gbp-million,current-account
quarter/2012-Q3,MT5T,SA,Credits,Primary income Other primary income,605,gbp-million,current-account
quarter/2012-Q3,HBOH,SA,Credits,Primary income Total,43955,gbp-million,current-account
quarter/2012-Q3,FHDM,SA,Credits,Secondary income Central government,124,gbp-million,current-account
quarter/2012-Q3,FHIB,SA,Credits,Secondary income Other sectors,3376,gbp-million,current-account
quarter/2012-Q3,IKBN,SA,Credits,Secondary income Total,3500,gbp-million,current-account
quarter/2012-Q3,HBON,SA,Credits,Total credits,176580,gbp-million,current-account
quarter/2012-Q4,BOKG,SA,Credits,Exports of goods,73045,gbp-million,current-account
quarter/2012-Q4,IKBB,SA,Credits,Exports of services,54352,gbp-million,current-account
quarter/2012-Q4,IKBH,SA,Credits,Total exports,127397,gbp-million,current-account
quarter/2012-Q4,IJAH,SA,Credits,Primary income Compensation of employees,273,gbp-million,current-account
quarter/2012-Q4,HBOK,SA,Credits,Primary income Investment income,36961,gbp-million,current-account
quarter/2012-Q4,MT5T,SA,Credits,Primary income Other primary income,604,gbp-million,current-account
quarter/2012-Q4,HBOH,SA,Credits,Primary income Total,37838,gbp-million,current-account
quarter/2012-Q4,FHDM,SA,Credits,Secondary income Central government,182,gbp-million,current-account
quarter/2012-Q4,FHIB,SA,Credits,Secondary income Other sectors,3392,gbp-million,current-account
quarter/2012-Q4,IKBN,SA,Credits,Secondary income Total,3574,gbp-million,current-account
quarter/2012-Q4,HBON,SA,Credits,Total credits,168809,gbp-million,current-account
quarter/2013-Q1,BOKG,SA,Credits,Exports of goods,74215,gbp-million,current-account
quarter/2013-Q1,IKBB,SA,Credits,Exports of services,58914,gbp-million,current-account
quarter/2013-Q1,IKBH,SA,Credits,Total exports,133129,gbp-million,current-account
quarter/2013-Q1,IJAH,SA,Credits,Primary income Compensation of employees,253,gbp-million,current-account
quarter/2013-Q1,HBOK,SA,Credits,Primary income Investment income,38153,gbp-million,current-account
quarter/2013-Q1,MT5T,SA,Credits,Primary income Other primary income,602,gbp-million,current-account
quarter/2013-Q1,HBOH,SA,Credits,Primary income Total,39008,gbp-million,current-account
quarter/2013-Q1,FHDM,SA,Credits,Secondary income Central government,157,gbp-million,current-account
quarter/2013-Q1,FHIB,SA,Credits,Secondary income Other sectors,3977,gbp-million,current-account
quarter/2013-Q1,IKBN,SA,Credits,Secondary income Total,4134,gbp-million,current-account
quarter/2013-Q1,HBON,SA,Credits,Total credits,176271,gbp-million,current-account
quarter/2013-Q2,BOKG,SA,Credits,Exports of goods,75573,gbp-million,current-account
quarter/2013-Q2,IKBB,SA,Credits,Exports of services,59512,gbp-million,current-account
quarter/2013-Q2,IKBH,SA,Credits,Total exports,135085,gbp-million,current-account
quarter/2013-Q2,IJAH,SA,Credits,Primary income Compensation of employees,295,gbp-million,current-account
quarter/2013-Q2,HBOK,SA,Credits,Primary income Investment income,42900,gbp-million,current-account
quarter/2013-Q2,MT5T,SA,Credits,Primary income Other primary income,617,gbp-million,current-account
quarter/2013-Q2,HBOH,SA,Credits,Primary income Total,43812,gbp-million,current-account
quarter/2013-Q2,FHDM,SA,Credits,Secondary income Central government,144,gbp-million,current-account
quarter/2013-Q2,FHIB,SA,Credits,Secondary income Other sectors,4494,gbp-million,current-account
quarter/2013-Q2,IKBN,SA,Credits,Secondary income Total,4638,gbp-million,current-account
quarter/2013-Q2,HBON,SA,Credits,Total credits,183535,gbp-million,current-account
quarter/2013-Q3,BOKG,SA,Credits,Exports of goods,75992,gbp-million,current-account
quarter/2013-Q3,IKBB,SA,Credits,Exports of services,59098,gbp-million,current-account
quarter/2013-Q3,IKBH,SA,Credits,Total exports,135090,gbp-million,current-account
quarter/2013-Q3,IJAH,SA,Credits,Primary income Compensation of employees,264,gbp-million,current-account
quarter/2013-Q3,HBOK,SA,Credits,Primary income Investment income,39940,gbp-million,current-account
quarter/2013-Q3,MT5T,SA,Credits,Primary income Other primary income,617,gbp-million,current-account
quarter/2013-Q3,HBOH,SA,Credits,Primary income Total,40821,gbp-million,current-account
quarter/2013-Q3,FHDM,SA,Credits,Secondary income Central government,163,gbp-million,current-account
quarter/2013-Q3,FHIB,SA,Credits,Secondary income Other sectors,4205,gbp-million,current-account
quarter/2013-Q3,IKBN,SA,Credits,Secondary income Total,4368,gbp-million,current-account
quarter/2013-Q3,HBON,SA,Credits,Total credits,180279,gbp-million,current-account
quarter/2013-Q4,BOKG,SA,Credits,Exports of goods,73682,gbp-million,current-account
quarter/2013-Q4,IKBB,SA,Credits,Exports of services,56906,gbp-million,current-account
quarter/2013-Q4,IKBH,SA,Credits,Total exports,130588,gbp-million,current-account
quarter/2013-Q4,IJAH,SA,Credits,Primary income Compensation of employees,282,gbp-million,current-account
