Label,URI,Parent URI,Sort Priority,Description,Local Notation
North Yorkshire CC,http://data.europa.eu/nuts/code/UKE22,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,86,,
"Barnsley, Doncaster and Rotherham",http://data.europa.eu/nuts/code/UKE31,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,87,,
Sheffield,http://data.europa.eu/nuts/code/UKE32,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,88,,
Bradford,http://data.europa.eu/nuts/code/UKE41,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,89,,
Leeds,http://data.europa.eu/nuts/code/UKE42,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,90,,
Calderdale and Kirklees,http://data.europa.eu/nuts/code/UKE44,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,91,,
Wakefield,http://data.europa.eu/nuts/code/UKE45,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,92,,
Derby,http://data.europa.eu/nuts/code/UKF11,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,93,,
East Derbyshire,http://data.europa.eu/nuts/code/UKF12,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,94,,
South and West Derbyshire,http://data.europa.eu/nuts/code/UKF13,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,95,,
Nottingham,http://data.europa.eu/nuts/code/UKF14,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,96,,
North Nottinghamshire,http://data.europa.eu/nuts/code/UKF15,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,97,,
South Nottinghamshire,http://data.europa.eu/nuts/code/UKF16,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,98,,
Leicester,http://data.europa.eu/nuts/code/UKF21,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,99,,
Leicestershire CC and Rutland,http://data.europa.eu/nuts/code/UKF22,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,100,,
West Northamptonshire,http://data.europa.eu/nuts/code/UKF24,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,101,,
North Northamptonshire,http://data.europa.eu/nuts/code/UKF25,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,102,,
Lincolnshire,http://data.europa.eu/nuts/code/UKF30,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,103,,
