TrueSitcNotation,Label,Notation,Parent Notation,Sort Priority
056.71,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid",05671,05600,336
056.72,"Tomatoes prepared or preserved otherwise than by vinegar or acetic acid, whole or in pieces",05672,05600,337
056.73,"Tomatoes prepared or preserved otherwise than by vinegar or acetic acid, nes",05673,05600,338
056.74,Mushrooms and truffles prepared or preserved otherwise than by vinegar or acetic acid,05674,05600,339
056.75,"Sauerkraut prepared or preserved otherwise than by vinegar or acetic acid, not frozen",05675,05600,340
056.76,"Potatoes prepared or preserved otherwise than by vinegar or acetic acid, not frozen",05676,05600,341
056.77,Sweet corn prepared or preserved otherwise than by vinegar or acetic acid,05677,05600,342
056.79,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen",05679,05600,343
057,"Fruit and nuts (not including oil nuts), fresh or dried",05700,05,344
057.1,"Oranges, mandarins, clementines and similar citrus hybrids, fresh or dried",05710,05700,345
057.11,"Oranges, fresh or dried",05711,05700,346
057.12,"Mandarines (including tangerines and satsumas); clementines, wilkings & sim citrus hybrids, fresh or dried",05712,05700,347
057.2,"Other citrus fruit, fresh or dried",05720,05700,348
057.21,"Lemons and limes, fresh or dried",05721,05700,349
057.22,"Grapefruit, fresh or dried",05722,05700,350
057.29,"Citrus fruit, nes, fresh or dried",05729,05700,351
057.3,"Bananas (including plantains), fresh or dried",05730,05700,352
057.4,"Apples, fresh",05740,05700,353
057.5,"Grapes, fresh or dried",05750,05700,354
057.51,"Grapes, fresh",05751,05700,355
057.52,"Grapes, dried (eg raisins)",05752,05700,356
057.6,"Figs, fresh or dried",05760,05700,357
057.7,"Edible nuts (exc nuts chiefly used for the ext of oil), fresh or dried, whether or not shelled or peeled",05770,05700,358
057.71,"Edible coconuts (not used for the extraction of oil), fresh or dried, whether or not shelled",05771,05700,359
057.72,"Edible brazil nuts (not used for the extraction of oil), fresh or dried, whether or not shelled",05772,05700,360
057.73,"Edible cashew nuts (not used for the extraction of oil), fresh or dried, whether or not shelled or peeled",05773,05700,361
057.74,"Edible almonds (not used for the extraction of oil), fresh or dried, whether or not shelled or peeled",05774,05700,362
057.75,"Edible hazlenuts or filberts (not used for the ext of oil), fresh or dried, whether or not shelled or peeled",05775,05700,363
057.76,"Edible walnuts (not used for the extraction of oil), fresh or dried, whether or not shelled or peeled",05776,05700,364
057.77,"Edible chestnuts (not used for the extraction of oil), fresh or dried, whether or not shelled or peeled",05777,05700,365
057.78,"Edible pistachios (not used for the extraction of oils), fresh or dried, whether or not shelled or peeled",05778,05700,366
057.79,"Other edible nuts, fresh or dried, whether or not shelled or peeled (exc mixtures & nuts for oil extraction)",05779,05700,367
057.9,"Fruit, fresh or dried, nes",05790,05700,368
057.91,"Melons (inc water melons) and papaws (papayas), fresh",05791,05700,369
057.92,"Pears and quinces, fresh",05792,05700,370
057.93,"Apricots,cherries,peaches(including nectarines), plums and sloes,fresh",05793,05700,371
057.94,"Berries, fresh",05794,05700,372
057.95,"Pineapples, fresh or dried",05795,05700,373
057.96,"Dates, fresh or dried",05796,05700,374
057.97,"Avocados, guavas, mangoes and mangosteens, fresh or dried",05797,05700,375
057.98,Other fresh fruit,05798,05700,376
057.99,"Fruit dried nes and mixtures nes, of nuts or dried fruits of group 057",05799,05700,377
058,"Fruit, preserved, and fruit preparations (excluding fruit juices)",05800,05,378
058.1,"Jams, fruit jellies, marmalades, fruit or nut puree or pastes, being cooked prp, exc homogenized prp",05810,05800,379
058.2,Fruit and nuts provisionally preserved; peel of citrus fruit or melons.,05820,05800,380
058.21,"Fruit & nuts provisionally prs (eg sulphur dioxide gas or other prs solutions),unfit for immediate consumption",05821,05800,381
058.22,"Peel of citrus fruit or melons, fresh, frozen, dried or provisionally prs in brine or other prs solutions",05822,05800,382
058.3,"Fruit and nuts, uncooked or cooked by steaming or boiling in water,frozen,whether or not ctg added swt matter",05830,05800,383
058.31,"Strawberries, uncooked or cooked by steaming or boiling in water,frozen,whether or not ctg added swt matter",05831,05800,384
058.32,"Raspberries,blackberries,loganberries, black,white or red currants, mulberries & gooseberries of hdg 058.30",05832,05800,385
058.39,"Fruit and nuts, nes, of heading 058.30",05839,05800,386
058.9,"Fruit, nuts & other edible parts of plants o/w prd or prs, nes, whether or not ctg added swt matter or spirit",05890,05800,387
058.92,"Nuts, groundnuts and other seeds, prepared or preserved, nes",05892,05800,388
058.93,"Pineapples, prepared or preserved",05893,05800,389
058.94,"Citrus fruit, prepared or preserved, nes",05894,05800,390
