NUTS Geography,Year,ONS Functional Category,Flow Directions,Value
UK,2012,information-communication,exports,23354
UK,2012,real-estate,exports,31220
UK,2012,insurance-pension,exports,19303
UK,2012,financial,exports,47972
UK,2012,administrative-support,exports,5351
UK,2012,other,exports,1988
UK,2012,all,exports,199181
UKC,2013,primary-utilities,exports,8
UKC,2013,manufacturing,exports,837
UKC,2013,transport,exports,414
UKC,2013,travel,exports,266
UKC,2013,construction,exports,38
UKC,2013,wholesale-motor,exports,86
UKC,2013,retail,exports,21
UKC,2013,information-communication,exports,148
UKC,2013,real-estate,exports,411
UKC,2013,insurance-pension,exports,394
UKC,2013,financial,exports,918
UKC,2013,administrative-support,exports,160
UKC,2013,other,exports,6
UKC,2013,all,exports,3706
UKD,2013,primary-utilities,exports,71
UKD,2013,manufacturing,exports,3848
UKD,2013,transport,exports,2332
UKD,2013,travel,exports,1390
UKD,2013,construction,exports,69
UKD,2013,wholesale-motor,exports,1211
UKD,2013,retail,exports,70
UKD,2013,information-communication,exports,587
UKD,2013,real-estate,exports,1435
UKD,2013,insurance-pension,exports,1862
UKD,2013,financial,exports,3285
UKD,2013,administrative-support,exports,393
UKD,2013,other,exports,377
UKD,2013,all,exports,16931
UKE,2013,primary-utilities,exports,13
UKE,2013,manufacturing,exports,739
UKE,2013,transport,exports,925
UKE,2013,travel,exports,712
UKE,2013,construction,exports,36
UKE,2013,wholesale-motor,exports,121
UKE,2013,retail,exports,48
UKE,2013,information-communication,exports,375
UKE,2013,real-estate,exports,597
UKE,2013,insurance-pension,exports,490
UKE,2013,financial,exports,2612
UKE,2013,administrative-support,exports,198
UKE,2013,other,exports,25
UKE,2013,all,exports,6890
UKF,2013,primary-utilities,exports,35
UKF,2013,manufacturing,exports,955
UKF,2013,transport,exports,328
UKF,2013,travel,exports,611
UKF,2013,construction,exports,39
UKF,2013,wholesale-motor,exports,309
UKF,2013,retail,exports,48
UKF,2013,information-communication,exports,577
UKF,2013,real-estate,exports,424
UKF,2013,insurance-pension,exports,185
UKF,2013,financial,exports,1274
UKF,2013,administrative-support,exports,97
UKF,2013,other,exports,80
