Label,Notation,Parent Notation,Sort Priority,Description
Activities of unit trusts,64.30/2,64.3,866,
Activities of venture and development capital companies,64.30/3,64.3,867,
Activities of open-ended investment companies,64.30/4,64.3,868,
Activities of property unit trusts,64.30/5,64.3,869,
Activities of real estate investment trusts,64.30/6,64.3,870,
"Other financial service activities, except insurance and pension funding",64.9,64,871,
Financial leasing,64.91,64.9,872,
Other credit granting,64.92,64.9,873,
Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,64.92/1,64.92,874,
Activities of mortgage finance companies,64.92/2,64.92,875,
Other credit granting (not including credit granting by non-deposit taking finance houses and other specialist consumer credit grantors and activities of mortgage finance companies) n.e.c.,64.92/9,64.92,876,
"Other financial service activities, except insurance and pension funding, n.e.c.",64.99,64.9,877,
Security dealing on own account,64.99/1,64.99,878,
Factoring,64.99/2,64.99,879,
"Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.",64.99/9,64.99,880,
"Insurance, reinsurance and pension funding, except compulsory social security",65,K,881,
Insurance,65.1,65,882,
Life insurance,65.11,65.1,883,
Non-life insurance,65.12,65.1,884,
Reinsurance,65.2,65,885,
Reinsurance,65.2,65.2,886,
Life reinsurance,65.20/1,65.2,887,
Non-life reinsurance,65.20/2,65.2,888,
Pension funding,65.3,65,889,
Pension funding,65.3,65.3,890,
Activities auxiliary to financial services and insurance activities,66,65.3,891,
"Activities auxiliary to financial services, except insurance and pension funding",66.1,66,892,
Administration of financial markets,66.11,66.1,893,
Security and commodity contracts brokerage,66.12,66.1,894,
"Other activities auxiliary to financial services, except insurance and pension funding",66.19,66.1,895,
Activities auxiliary to insurance and pension funding,66.2,66,896,
Risk and damage evaluation,66.21,66.2,897,
Activities of insurance agents and brokers,66.22,66.2,898,
Other activities auxiliary to insurance and pension funding,66.29,66.2,899,
Fund management activities,66.3,66,900,
Fund management activities,66.3,66.3,901,
REAL ESTATE ACTIVITIES,L,total,902,
Real estate activities,68,L,903,
Buying and selling of own real estate,68.1,68,904,
Buying and selling of own real estate,68.1,68.1,905,
Renting and operating of own or leased real estate,68.2,68,906,
Renting and operating of own or leased real estate,68.2,68.2,907,
Renting and operating of Housing Association real estate,68.20/1,68.2,908,
Letting and operating of conference and exhibition centres,68.20/2,68.2,909,
Letting and operating of own or leased real estate (other than Housing Association real estate and conference and exhibition services) n.e.c.,68.20/9,68.2,910,
Real estate activities on a fee or contract basis,68.3,68,911,
Real estate agencies,68.31,68.3,912,
Management of real estate on a fee or contract basis,68.32,68.3,913,
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",M,total,914,
Legal and accounting activities,69,M,915,
Legal activities,69.1,69,916,
Legal activities,69.1,69.1,917,
Barristers at law,69.10/1,69.1,918,
Solicitors,69.10/2,69.1,919,
Activities of patent and copyright agents; other legal activities (other than those of barristers and solicitors) n.e.c.,69.10/9,69.1,920,
"Accounting, bookkeeping and auditing activities; tax consultancy",69.2,69,921,
"Accounting, bookkeeping and auditing activities; tax consultancy",69.2,69.2,922,
"Accounting, and auditing activities",69.20/1,69.2,923,
Bookkeeping activities,69.20/2,69.2,924,
Tax consultancy,69.20/3,69.2,925,
Activities of head offices; management consultancy activities,70,M,926,
Activities of head offices,70.1,70,927,
Activities of head offices,70.1,70.1,928,
Management consultancy activities,70.2,70,929,
Public relations and communication activities,70.21,70.2,930,
Business and other management consultancy activities,70.22,70.2,931,
Financial management,70.22/1,70.22,932,
Management consultancy activities (other than financial management),70.22/9,70.22,933,
Architectural and engineering activities; technical testing and analysis,71,M,934,
Architectural and engineering activities and related technical consultancy,71.1,71,935,
Architectural activities,71.11,71.1,936,
Architectural activities,71.11/1,71.11,937,
