URI,Notation,Label,Parent URI,Sort Priority
http://data.europa.eu/nuts/code/UKI54,UKI54,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,146
http://data.europa.eu/nuts/code/UKI61,UKI61,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,147
http://data.europa.eu/nuts/code/UKI62,UKI62,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,148
http://data.europa.eu/nuts/code/UKI63,UKI63,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,149
http://data.europa.eu/nuts/code/UKI71,UKI71,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,150
http://data.europa.eu/nuts/code/UKI72,UKI72,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,151
http://data.europa.eu/nuts/code/UKI73,UKI73,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,152
http://data.europa.eu/nuts/code/UKI74,UKI74,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,153
http://data.europa.eu/nuts/code/UKI75,UKI75,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,154
http://data.europa.eu/nuts/code/UKJ11,UKJ11,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,155
