Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2017,BPM6,luxembourg,total-net-fdi-in-the-uk,all-activities,258.0,
inward,2018,BPM6,luxembourg,total-net-fdi-in-the-uk,all-activities,-1556.0,
inward,2019,BPM6,luxembourg,total-net-fdi-in-the-uk,all-activities,887.0,
inward,2010,BPM5,malta,total-net-fdi-in-the-uk,all-activities,-16.0,
inward,2011,BPM5,malta,total-net-fdi-in-the-uk,all-activities,346.0,
inward,2012,BPM6,malta,total-net-fdi-in-the-uk,all-activities,-49.0,
inward,2013,BPM6,malta,total-net-fdi-in-the-uk,all-activities,19.0,
inward,2014,BPM6,malta,total-net-fdi-in-the-uk,all-activities,5.0,
inward,2015,BPM6,malta,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2016,BPM6,malta,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2017,BPM6,malta,total-net-fdi-in-the-uk,all-activities,-85.0,
inward,2018,BPM6,malta,total-net-fdi-in-the-uk,all-activities,130.0,
inward,2019,BPM6,malta,total-net-fdi-in-the-uk,all-activities,28.0,
inward,2010,BPM5,netherlands,total-net-fdi-in-the-uk,all-activities,-3274.0,
inward,2011,BPM5,netherlands,total-net-fdi-in-the-uk,all-activities,-35732.0,
inward,2012,BPM6,netherlands,total-net-fdi-in-the-uk,all-activities,-1594.0,
inward,2013,BPM6,netherlands,total-net-fdi-in-the-uk,all-activities,1251.0,
inward,2014,BPM6,netherlands,total-net-fdi-in-the-uk,all-activities,-2714.0,
inward,2015,BPM6,netherlands,total-net-fdi-in-the-uk,all-activities,-22289.0,
inward,2016,BPM6,netherlands,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2017,BPM6,netherlands,total-net-fdi-in-the-uk,all-activities,1541.0,
inward,2018,BPM6,netherlands,total-net-fdi-in-the-uk,all-activities,-17596.0,
inward,2019,BPM6,netherlands,total-net-fdi-in-the-uk,all-activities,6930.0,
inward,2010,BPM5,poland,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2011,BPM5,poland,total-net-fdi-in-the-uk,all-activities,23.0,
inward,2012,BPM6,poland,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2013,BPM6,poland,total-net-fdi-in-the-uk,all-activities,11.0,
inward,2014,BPM6,poland,total-net-fdi-in-the-uk,all-activities,12.0,
