Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2017,BPM6,Luxembourg,Total Net Fdi In The Uk,All Activities,258.0,
inward,2018,BPM6,Luxembourg,Total Net Fdi In The Uk,All Activities,-1556.0,
inward,2019,BPM6,Luxembourg,Total Net Fdi In The Uk,All Activities,887.0,
inward,2010,BPM5,Malta,Total Net Fdi In The Uk,All Activities,-16.0,
inward,2011,BPM5,Malta,Total Net Fdi In The Uk,All Activities,346.0,
inward,2012,BPM6,Malta,Total Net Fdi In The Uk,All Activities,-49.0,
inward,2013,BPM6,Malta,Total Net Fdi In The Uk,All Activities,19.0,
inward,2014,BPM6,Malta,Total Net Fdi In The Uk,All Activities,5.0,
inward,2015,BPM6,Malta,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2016,BPM6,Malta,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2017,BPM6,Malta,Total Net Fdi In The Uk,All Activities,-85.0,
inward,2018,BPM6,Malta,Total Net Fdi In The Uk,All Activities,130.0,
inward,2019,BPM6,Malta,Total Net Fdi In The Uk,All Activities,28.0,
inward,2010,BPM5,Netherlands,Total Net Fdi In The Uk,All Activities,-3274.0,
inward,2011,BPM5,Netherlands,Total Net Fdi In The Uk,All Activities,-35732.0,
inward,2012,BPM6,Netherlands,Total Net Fdi In The Uk,All Activities,-1594.0,
inward,2013,BPM6,Netherlands,Total Net Fdi In The Uk,All Activities,1251.0,
inward,2014,BPM6,Netherlands,Total Net Fdi In The Uk,All Activities,-2714.0,
inward,2015,BPM6,Netherlands,Total Net Fdi In The Uk,All Activities,-22289.0,
inward,2016,BPM6,Netherlands,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2017,BPM6,Netherlands,Total Net Fdi In The Uk,All Activities,1541.0,
inward,2018,BPM6,Netherlands,Total Net Fdi In The Uk,All Activities,-17596.0,
inward,2019,BPM6,Netherlands,Total Net Fdi In The Uk,All Activities,6930.0,
inward,2010,BPM5,Poland,Total Net Fdi In The Uk,All Activities,1.0,
inward,2011,BPM5,Poland,Total Net Fdi In The Uk,All Activities,23.0,
inward,2012,BPM6,Poland,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2013,BPM6,Poland,Total Net Fdi In The Uk,All Activities,11.0,
inward,2014,BPM6,Poland,Total Net Fdi In The Uk,All Activities,12.0,
